"","logFC","logCPM","F","PValue","FDR","SYMBOL","GENENAME","ENTREZID"
"ENSMUSG00000030281",1.88930058849081,2.52437455532437,29.9910440419003,0.000112096434582642,0.000668918466656908,"Il17rc","interleukin 17 receptor C","171095"
"ENSMUSG00000036466",-4.05117535568614,1.90025575994626,29.8426024629155,0.000112360832684395,0.000670192275987922,"Megf11","multiple EGF-like-domains 11","214058"
"ENSMUSG00000038860",-1.39317097142131,3.60186703316091,29.9660730060697,0.00011238398084051,0.000670192275987922,"Garnl3","GTPase activating RANGAP domain-like 3","99326"
"ENSMUSG00000046402",-1.69281511663171,4.63794098758341,29.9293919416105,0.00011295274157583,0.000673362093354695,"Rbp1","retinol binding protein 1, cellular","19659"
"ENSMUSG00000031451",1.28181345146981,7.16936627744777,29.9235113466969,0.000113036747201998,0.000673640931200837,"Gas6","growth arrest specific 6","14456"
"ENSMUSG00000005611",2.19789124484138,1.88526236378749,29.939976672748,0.000113309920661135,0.00067502586938759,"Irag1","inositol 1,4,5-triphosphate receptor associated 1","17540"
"ENSMUSG00000000168",1.26154069068039,5.89056429191735,29.9059341622808,0.000113343756767783,0.00067502586938759,"Dlat","dihydrolipoamide S-acetyltransferase","235339"
"ENSMUSG00000108732",-3.66246396288794,-0.584195415965929,25.6689540274102,0.000113512094455962,0.000675805964130216,NA,NA,NA
"ENSMUSG00000076498",-3.38306753047193,3.49319361927445,29.9143230543217,0.000113564260610112,0.000675894133953536,"Trbc2","T cell receptor beta, constant 2","100125263"
"ENSMUSG00000026226",-4.5889566796316,0.41351582097854,26.9434306004135,0.000113647629740696,0.000676167893751535,"Spata3","spermatogenesis associated 3","70060"
"ENSMUSG00000044715",1.24586472438814,5.6750051396817,29.8771530029279,0.000113848020880384,0.000677084851954235,"Gskip","GSK3B interacting protein","66787"
"ENSMUSG00000051177",-2.56566285490883,3.21813536338801,29.9060231274403,0.000113876593406109,0.000677084851954235,"Plcb1","phospholipase C, beta 1","18795"
"ENSMUSG00000022055",2.51604263476137,1.33027311315373,30.0316748659341,0.000114021473253484,0.000677723559650227,"Nefl","neurofilament, light polypeptide","18039"
"ENSMUSG00000030276",-2.86883606301854,1.66502195371139,29.8235744224008,0.000114162233128151,0.000678337367483622,"Ttll3","tubulin tyrosine ligase-like family, member 3","101100"
"ENSMUSG00000017861",2.13002055397242,2.53243769232973,29.9241069055411,0.000114793773126378,0.000681865967555994,"Mybl2","Myb proto-oncogene like 2","17865"
"ENSMUSG00000020704",-3.77767228311512,1.3490285895137,27.7720208715885,0.000115227157929961,0.000684215611561135,"Asic2","acid-sensing ion channel 2","11418"
"ENSMUSG00000052736",-7.66176934366967,-0.644982486445025,31.6833851013863,0.000115349905056577,0.000684674605751011,"Klrc2","killer cell lectin-like receptor subfamily C, member 2","16642"
"ENSMUSG00000079057",1.18916418444063,5.38948929721364,29.7908310437601,0.000115380139995293,0.000684674605751011,"Cyp4v3","cytochrome P450, family 4, subfamily v, polypeptide 3","102294"
"ENSMUSG00000024935",-3.80998620643064,2.98268934498705,29.8882319992008,0.000115481270677399,0.000685050042743008,"Slc1a1","solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1","20510"
"ENSMUSG00000029695",-5.19788799995193,1.29877937179653,26.8055256015154,0.00011583129548272,0.000686901222277563,"Aass","aminoadipate-semialdehyde synthase","30956"
"ENSMUSG00000074805",-8.82105706558582,0.562960772540731,34.5309162865214,0.000116057733216336,0.000688018534430921,"Il1bos","interleukin 1 beta, opposite strand","329514"
"ENSMUSG00000034203",1.41579719411107,5.66664643013409,29.7364347064537,0.000116352096535002,0.000689322633458987,"Chchd4","coiled-coil-helix-coiled-coil-helix domain containing 4","72170"
"ENSMUSG00000043505",-2.39025580835961,2.57085699469375,29.76485258929,0.000116380759288865,0.000689322633458987,"Gimap5","GTPase, IMAP family member 5","317757"
"ENSMUSG00000102142",-3.51540039482951,-0.386475258324884,25.5193485293609,0.000116392010458034,0.000689322633458987,NA,NA,NA
"ENSMUSG00000096001",-2.3776686241724,2.27374561461277,29.7966417793556,0.000116628425993768,0.000690496764236007,"Gpr15lg","G protein coupled receptor 15 ligand","70045"
"ENSMUSG00000020528",-1.05476787478583,5.3342069118374,29.7040554046493,0.000116941910254439,0.000692126261770873,"Prpsap2","phosphoribosyl pyrophosphate synthetase-associated protein 2","212627"
"ENSMUSG00000020869",1.8861671771909,7.61306867362863,29.686741820317,0.000117249133689383,0.000693717650700459,"Lrrc59","leucine rich repeat containing 59","98238"
"ENSMUSG00000025178",1.04500492204561,5.83183903480375,29.6751293748824,0.000117462088791585,0.000694670993724182,"Pi4k2a","phosphatidylinositol 4-kinase type 2 alpha","84095"
"ENSMUSG00000009207",1.10052509123969,4.26673792029851,29.674129849281,0.000117498853263846,0.000694670993724182,"Lnpk","lunapark, ER junction formation factor","69605"
"ENSMUSG00000019235",-2.3607020718657,1.72701122585944,29.7928491104358,0.000117548500637357,0.000694670993724182,"Rps6kl1","ribosomal protein S6 kinase-like 1","238323"
"ENSMUSG00000028434",-3.22175053006135,2.04572958265498,29.6609874778276,0.000117563841418418,0.000694670993724182,"Epb41l4b","erythrocyte membrane protein band 4.1 like 4b","54357"
"ENSMUSG00000018677",1.31567017233363,7.72744157712091,29.6219514350949,0.000118433141014475,0.000699579112104114,"Slc25a39","solute carrier family 25, member 39","68066"
"ENSMUSG00000034854",1.97089361779854,3.93881776703908,29.6027563557938,0.0001188856639802,0.000702022949867417,"Mfsd12","major facilitator superfamily domain containing 12","73822"
