"","logFC","logCPM","F","PValue","FDR","SYMBOL","GENENAME","ENTREZID"
"ENSMUSG00000026442",-0.204067396467589,5.32404853115939,0.290848240762947,0.598956485256756,0.773905078797862,"Nfasc","neurofascin","269116"
"ENSMUSG00000020594",-0.217624756729428,4.74324675043944,0.290786291692368,0.598960527187667,0.773905078797862,"Pum2","pumilio RNA-binding family member 2","80913"
"ENSMUSG00000093594",0.229512754441618,1.8119738255579,0.290707219696249,0.599016467571829,0.773922089958376,NA,NA,NA
"ENSMUSG00000040813",-0.1276745100164,6.58474782658641,0.290539412237135,0.599113690312019,0.773956893559835,"Tex264","testis expressed gene 264 ER-phagy receptor","21767"
"ENSMUSG00000121048",-0.201871249021203,1.54026710511459,0.29049116275875,0.599171099698963,0.773956893559835,"Gm53066","predicted gene, 53066","105242769"
"ENSMUSG00000021693",-0.210197120521389,3.67232351394294,0.290447088740678,0.599171735372388,0.773956893559835,"Kif2a","kinesin family member 2A","16563"
"ENSMUSG00000037773",-0.133682708787866,3.33284252301638,0.289542237678105,0.599735378044731,0.774629654123595,"Pced1a","PC-esterase domain containing 1A","319513"
"ENSMUSG00000077737",-0.23111837288984,-0.680479755118072,0.287585638057873,0.600188604381999,0.775159712976194,NA,NA,NA
"ENSMUSG00000020671",0.128508790627657,7.74505858637758,0.288682644631943,0.600270485419738,0.775210127958553,"Rab10","RAB10, member RAS oncogene family","19325"
"ENSMUSG00000119966",0.27492125105827,-0.388921296636209,0.291376601191534,0.600356523393599,0.775265903772777,NA,NA,NA
"ENSMUSG00000032330",0.106165429285819,7.33915609393372,0.288426926694349,0.600430182740663,0.775305687719585,"Cox7a2","cytochrome c oxidase subunit 7A2","12866"
"ENSMUSG00000070997",-0.303678062075118,-0.0982264482590581,0.286291025871706,0.600559826629588,0.775395985350214,"1700055D18Rik","RIKEN cDNA 1700055D18 gene","73405"
"ENSMUSG00000119988",-0.222510605061913,0.316147849280678,0.288088643111931,0.600585825385392,0.775395985350214,NA,NA,NA
"ENSMUSG00000066839",-0.119642010127188,4.97990697766095,0.287792913441387,0.600826671652803,0.775561390947814,"Ecsit","ECSIT signalling integrator","26940"
"ENSMUSG00000015023",0.27924671901302,2.17435655002751,0.28776703737794,0.600846835981614,0.775561390947814,"Ddx19a","DEAD box helicase 19a","13680"
"ENSMUSG00000059013",-0.125473411754092,4.23459878474633,0.28772286667836,0.600870694547414,0.775561390947814,"Sh2d3c","SH2 domain containing 3C","27387"
"ENSMUSG00000020794",-0.155074023014726,6.57220607019607,0.287698809443843,0.600885401995604,0.775561390947814,"Ube2g1","ubiquitin-conjugating enzyme E2G 1","67128"
"ENSMUSG00000042548",-0.179530702217695,4.00898947551132,0.287464048695528,0.601032794224136,0.775696294022205,"Asxl1","ASXL transcriptional regulator 1","228790"
"ENSMUSG00000034617",0.144297414213794,3.62004183265957,0.287388695873249,0.601080402483796,0.775702405288111,"Mtrr","5-methyltetrahydrofolate-homocysteine methyltransferase reductase","210009"
"ENSMUSG00000070319",0.120866192645671,7.09953290763983,0.287254350165639,0.601163644753573,0.775716054462209,"Eif3g","eukaryotic translation initiation factor 3, subunit G","53356"
"ENSMUSG00000025133",0.126741140646113,5.09761562639443,0.287197895646446,0.601199119460522,0.775716054462209,"Ints4","integrator complex subunit 4","101861"
"ENSMUSG00000119968",-0.323388219566245,-0.911302300192813,0.284229370577771,0.601219600493205,0.775716054462209,NA,NA,NA
"ENSMUSG00000006412",-0.126567300043349,6.01815818183806,0.286935662561307,0.601363330072052,0.775791045419417,"Pfdn2","prefoldin 2","18637"
"ENSMUSG00000101778",-0.399896683043464,-1.42304492885121,0.284914274051483,0.601364370988462,0.775791045419417,NA,NA,NA
"ENSMUSG00000037236",-0.119342418764651,6.04047333226181,0.286834905414005,0.601426492290563,0.775791045419417,"Matr3","matrin 3","17184"
"ENSMUSG00000030168",-0.144972765715306,4.83238714795774,0.286784785888756,0.601458114150881,0.775791045419417,"Adipor2","adiponectin receptor 2","68465"
"ENSMUSG00000030629",0.132448355597964,7.51933713491858,0.286622714668686,0.601559548877223,0.775791045419417,"Zfand6","zinc finger, AN1-type domain 6","65098"
"ENSMUSG00000071655",0.111647369450613,6.97441422184137,0.286420102514184,0.60168666606639,0.775791045419417,"Ubxn1","UBX domain protein 1","225896"
"ENSMUSG00000028273",0.119664115113618,5.73517147089647,0.286341926691325,0.601735805093579,0.775791045419417,"Pdlim5","PDZ and LIM domain 5","56376"
"ENSMUSG00000000085",-0.125470827079041,3.8309294636189,0.286317359350267,0.601751730981518,0.775791045419417,"Scmh1","Scm polycomb group homolog 1","29871"
"ENSMUSG00000041977",-0.245401753593086,2.26769544269558,0.286318154495501,0.601754254365124,0.775791045419417,"Arhgef11","Rho guanine nucleotide exchange factor 11","213498"
"ENSMUSG00000024544",-0.164953337031155,5.25061957140974,0.286307787714898,0.601757591309997,0.775791045419417,"Ldlrad4","low density lipoprotein receptor class A domain containing 4","52662"
"ENSMUSG00000022799",0.137979197706135,5.13628957459542,0.286238729987329,0.601800620024711,0.775791045419417,"Arhgap31","Rho GTPase activating protein 31","12549"
"ENSMUSG00000043059",0.120367121710079,4.02341241695681,0.28619944924823,0.601825662604253,0.775791045419417,"Zfp513","zinc finger protein 513","101023"
"ENSMUSG00000106831",0.196327702104297,2.60662595411295,0.286142958211332,0.601863087037911,0.775791045419417,NA,NA,NA
"ENSMUSG00000019261",0.0997494199686152,5.22529944220314,0.286115412562515,0.601878013848027,0.775791045419417,"Map1s","microtubule-associated protein 1S","270058"
"ENSMUSG00000028696",0.141936857250825,2.57048358526561,0.2858416692116,0.602052854480923,0.775960448271468,"Ipp","IAP promoted placental gene","16351"
"ENSMUSG00000062232",0.145144139992439,3.65311064373547,0.285771592810128,0.602095215458086,0.775960448271468,"Rapgef2","Rap guanine nucleotide exchange factor (GEF) 2","76089"
"ENSMUSG00000042476",-0.192760162451562,3.27603015650622,0.285612034709224,0.602195263921382,0.776034110408089,"Abcb4","ATP-binding cassette, sub-family B member 4","18670"
"ENSMUSG00000028962",-0.153732613211206,4.63359361952368,0.285381291649555,0.602339604675465,0.776164836364447,"Slc4a2","solute carrier family 4 (anion exchanger), member 2","20535"
"ENSMUSG00000012017",-0.196535995988682,2.24153669118613,0.285265879323541,0.602419932423241,0.776173406837871,"Scarf2","scavenger receptor class F, member 2","224024"
